X,Y,Z,formation,series,formation number
615600.3259246591,2475206.291528757,375.0,Unit2,Default series,2
615531.0010775465,2475111.0069938037,374.0,Unit2,Default series,2
615456.1722263799,2475014.7488296297,384.0,Unit2,Default series,2
615453.0655009383,2474906.990966085,390.0,Unit2,Default series,2
615433.3781261846,2474792.944585285,409.0,Unit2,Default series,2
615445.1829032142,2474692.4874965916,426.0,Unit2,Default series,2
615390.6510991814,2474577.8386556963,453.0,Unit2,Default series,2
615309.983895334,2474491.979490457,450.0,Unit2,Default series,2
615240.3448778937,2474465.59875038,459.0,Unit2,Default series,2
615235.5934426322,2474463.8941731895,459.0,Unit2,Default series,2
615177.9736211573,2474431.7575464263,455.0,Unit2,Default series,2
615128.2652537841,2474374.3398833075,437.0,Unit2,Default series,2
615104.7474054194,2474338.424023116,420.0,Unit2,Default series,2
615124.1075991109,2474312.492949608,407.0,Unit2,Default series,2
615115.1267798145,2474273.6329472275,409.0,Unit2,Default series,2
615085.6925963605,2474161.1470827353,401.0,Unit2,Default series,2
615092.3152284651,2474124.105209688,384.0,Unit2,Default series,2
615129.4307171416,2474063.334056639,359.0,Unit2,Default series,2
615209.2731378911,2474014.794455355,353.0,Unit2,Default series,2
615353.7670547221,2473972.564486148,357.0,Unit2,Default series,2
615477.6387726543,2473954.5907976115,340.0,Unit2,Default series,2
615559.5714003815,2474023.620108127,346.0,Unit2,Default series,2
615615.982437866,2474149.393156329,350.0,Unit2,Default series,2
615649.2851477682,2474211.308798097,362.0,Unit2,Default series,2
615783.3656232014,2474331.778831183,412.0,Unit2,Default series,2
615891.9483967642,2474397.6139543974,433.0,Unit2,Default series,2
615963.9543764871,2474452.991176792,424.0,Unit2,Default series,2
616091.7165625237,2474429.21867104,401.0,Unit2,Default series,2
616153.8196900949,2474341.6725268336,399.0,Unit2,Default series,2
616323.8955352311,2474315.1891240953,379.0,Unit2,Default series,2
616446.6966409897,2474373.481678316,352.0,Unit2,Default series,2
616557.5095630018,2474370.235927161,342.0,Unit2,Default series,2
616726.6682779996,2474354.535625317,336.0,Unit2,Default series,2
616773.2567602291,2474336.7443184815,340.0,Unit2,Default series,2
616793.9794114272,2474369.9176415624,346.0,Unit2,Default series,2
616800.8363930649,2474368.0364475166,346.0,Unit2,Default series,2
616858.3579279056,2474343.99123896,337.0,Unit2,Default series,2
616886.391411137,2474366.885634232,347.0,Unit2,Default series,2
617615.9466101301,2477521.646727762,611.0,Unit3,Default series,3
617616.6437505465,2477515.967273521,595.0,Unit3,Default series,3
617630.1788691035,2477429.6525526536,581.0,Unit3,Default series,3
617615.8617328603,2477282.9698120155,537.0,Unit3,Default series,3
617677.77611256,2477105.0815314115,567.0,Unit3,Default series,3
617691.4883221101,2477051.846805704,565.0,Unit3,Default series,3
617735.9949805939,2476978.2208301737,584.0,Unit3,Default series,3
617762.5991606653,2476953.5772591354,590.0,Unit3,Default series,3
617764.1264754597,2476951.4739347217,590.0,Unit3,Default series,3
617809.1235446654,2476926.9149047374,580.0,Unit3,Default series,3
617823.6325704887,2476895.7047863784,570.0,Unit3,Default series,3
617948.6893640321,2476798.895319167,540.0,Unit3,Default series,3
617968.5099600649,2476764.9065496908,531.0,Unit3,Default series,3
617824.1419999013,2476770.9045114866,544.0,Unit3,Default series,3
617792.9681146216,2476717.87487874,546.0,Unit3,Default series,3
617786.5541100232,2476677.1134882807,561.0,Unit3,Default series,3
617773.8134239265,2476628.9449455338,582.0,Unit3,Default series,3
617739.574878107,2476580.458072456,603.0,Unit3,Default series,3
617623.8542462698,2476506.4908998753,689.0,Unit3,Default series,3
617561.7814467044,2476511.561753693,704.0,Unit3,Default series,3
617500.8296372984,2476510.134076907,702.0,Unit3,Default series,3
617477.736900312,2476479.373174832,712.0,Unit3,Default series,3
617435.9525453832,2476425.064810446,736.0,Unit3,Default series,3
617416.2991541687,2476408.2059790096,734.0,Unit3,Default series,3
617381.0569385897,2476375.9837529683,744.0,Unit3,Default series,3
617342.1328577122,2476380.3106634757,741.0,Unit3,Default series,3
617340.1934016858,2476397.753064398,741.0,Unit3,Default series,3
617320.6125431492,2476380.1673868955,733.0,Unit3,Default series,3
617317.5301432003,2476378.5719450554,733.0,Unit3,Default series,3
617301.0953571022,2476366.505609652,735.0,Unit3,Default series,3
